"구분(1)",구분(2),구분(3),구분(4),2020
"인천",종량제방식 등 혼합배출,가연성,폐합성수지류,67381.9
"인천",종량제방식 등 혼합배출,가연성,폐고무류,2263.1
"인천",종량제방식 등 혼합배출,가연성,폐섬유류,16090.2
"인천",종량제방식 등 혼합배출,가연성,음식물류 폐기물,23670.1
"인천",종량제방식 등 혼합배출,가연성,폐목재류,16846.3
"인천",종량제방식 등 혼합배출,가연성,기타,134664.4
"인천",종량제방식 등 혼합배출,불연성,소계,27166.9
"인천",종량제방식 등 혼합배출,불연성,폐금속류,6200.6
"인천",종량제방식 등 혼합배출,불연성,폐유리류,7043.2
"인천",종량제방식 등 혼합배출,불연성,폐토사류,2588.8
"인천",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,1112.3
"인천",종량제방식 등 혼합배출,불연성,연탄재,460.9
"인천",종량제방식 등 혼합배출,불연성,기타,9761.1
"인천",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),198.8
"인천",종량제방식 등 혼합배출,기타(배출불명등),소계,339.4
"인천",재활용 가능자원 분리배출,소계,소계,134786.1
"인천",재활용 가능자원 분리배출,폐지류,종이팩,135.0
"인천",재활용 가능자원 분리배출,폐지류,기타,32662.0
"인천",재활용 가능자원 분리배출,고철류,소계,3193.6
"인천",재활용 가능자원 분리배출,금속캔,소계,3879.0
"인천",재활용 가능자원 분리배출,폐합성수지류,비닐류,31589.5
"인천",재활용 가능자원 분리배출,폐합성수지류,발포수지류,1810.2
"인천",재활용 가능자원 분리배출,폐합성수지류,PET병,3558.0
"인천",재활용 가능자원 분리배출,폐합성수지류,기타,11412.8
"인천",재활용 가능자원 분리배출,폐고무류,소계,0.0
"인천",재활용 가능자원 분리배출,폐유리병류,소계,10169.9
"인천",재활용 가능자원 분리배출,폐의류,소계,3015.8
"인천",재활용 가능자원 분리배출,폐섬유류,소계,0.0
"인천",재활용 가능자원 분리배출,폐형광등,소계,315.3
"인천",재활용 가능자원 분리배출,폐전지류,소계,227.9
"인천",재활용 가능자원 분리배출,영농폐기물,농약용기류,3.9
"인천",재활용 가능자원 분리배출,영농폐기물,폐비닐,709.6
"인천",재활용 가능자원 분리배출,폐식용유,소계,0.0
"인천",재활용 가능자원 분리배출,폐전기전자제품,소계,3571.2
"인천",재활용 가능자원 분리배출,폐가구류,소계,700.8
"인천",재활용 가능자원 분리배출,기타,소계,262.3
"인천",재활용 가능자원 분리배출,재활용 잔재물,소계,27569.3
"인천",음식물류 폐기물 분리배출,소계,소계,228604.5
"광주",합계,소계,소계,420659.4
"광주",종량제방식 등 혼합배출,소계,소계,202193.3
"광주",종량제방식 등 혼합배출,가연성,소계,175214.4
"광주",종량제방식 등 혼합배출,가연성,폐지류,31505.0
"광주",종량제방식 등 혼합배출,가연성,폐합성수지류,28732.6
"광주",종량제방식 등 혼합배출,가연성,폐고무류,951.5
"광주",종량제방식 등 혼합배출,가연성,폐섬유류,6792.5
"광주",종량제방식 등 혼합배출,가연성,음식물류 폐기물,9743.5
"광주",종량제방식 등 혼합배출,가연성,폐목재류,22493.6
"광주",종량제방식 등 혼합배출,가연성,기타,74995.7
"광주",종량제방식 등 혼합배출,불연성,소계,11786.1
"광주",종량제방식 등 혼합배출,불연성,폐금속류,2926.5
"광주",종량제방식 등 혼합배출,불연성,폐유리류,3171.0
"광주",종량제방식 등 혼합배출,불연성,폐토사류,450.1
"광주",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,268.8
"광주",종량제방식 등 혼합배출,불연성,연탄재,45.9
"광주",종량제방식 등 혼합배출,불연성,기타,4923.8
"광주",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0
"광주",종량제방식 등 혼합배출,기타(배출불명등),소계,15192.8
"광주",재활용 가능자원 분리배출,소계,소계,56822.2
"광주",재활용 가능자원 분리배출,폐지류,종이팩,84.7
"광주",재활용 가능자원 분리배출,폐지류,기타,6164.9
"광주",재활용 가능자원 분리배출,고철류,소계,236.0
"광주",재활용 가능자원 분리배출,금속캔,소계,509.9
"광주",재활용 가능자원 분리배출,폐합성수지류,비닐류,10400.6
"광주",재활용 가능자원 분리배출,폐합성수지류,발포수지류,1153.8
"광주",재활용 가능자원 분리배출,폐합성수지류,PET병,9004.6
"광주",재활용 가능자원 분리배출,폐합성수지류,기타,2291.1
"광주",재활용 가능자원 분리배출,폐고무류,소계,0.0
"광주",재활용 가능자원 분리배출,폐유리병류,소계,5779.8
"광주",재활용 가능자원 분리배출,폐의류,소계,137.2
"광주",재활용 가능자원 분리배출,폐섬유류,소계,0.0
"광주",재활용 가능자원 분리배출,폐형광등,소계,161.3
"광주",재활용 가능자원 분리배출,폐전지류,소계,103.0
