지역,종류,날짜,수치
전라남도,이산화질소,2019.02,0.0128
전라남도,일산화탄소,2019.02,0.5714285714285714
전라북도,미세먼지 PM10,2019.02,60.333333333333336
전라북도,미세먼지 PM2.5,2019.02,39.4
전라북도,아황산가스,2019.02,0.0036
전라북도,오존,2019.02,0.030533333333333336
전라북도,이산화질소,2019.02,0.014199999999999999
전라북도,일산화탄소,2019.02,0.5357142857142857
제주특별자치도,미세먼지 PM10,2019.02,42.0
제주특별자치도,미세먼지 PM2.5,2019.02,24.0
제주특별자치도,아황산가스,2019.02,0.002
제주특별자치도,오존,2019.02,0.042666666666666665
제주특별자치도,이산화질소,2019.02,0.011000000000000001
제주특별자치도,일산화탄소,2019.02,0.39999999999999997
충청남도,미세먼지 PM10,2019.02,57.0
충청남도,미세먼지 PM2.5,2019.02,34.625
충청남도,아황산가스,2019.02,0.00475
충청남도,오존,2019.02,0.0266875
충청남도,이산화질소,2019.02,0.01875
충청남도,일산화탄소,2019.02,0.68125
충청북도,미세먼지 PM10,2019.02,61.666666666666664
충청북도,미세먼지 PM2.5,2019.02,44.75
충청북도,아황산가스,2019.02,0.004333333333333334
충청북도,오존,2019.02,0.022166666666666668
충청북도,이산화질소,2019.02,0.023333333333333334
충청북도,일산화탄소,2019.02,0.6416666666666667
강원도,미세먼지 PM10,2019.03,57.333333333333336
강원도,미세먼지 PM2.5,2019.03,37.05555555555556
강원도,아황산가스,2019.03,0.0029444444444444444
강원도,오존,2019.03,0.03938888888888889
강원도,이산화질소,2019.03,0.012666666666666666
강원도,일산화탄소,2019.03,0.49444444444444446
경기도,미세먼지 PM10,2019.03,71.59375
경기도,미세먼지 PM2.5,2019.03,46.53125
경기도,아황산가스,2019.03,0.0041875
경기도,오존,2019.03,0.0301875
경기도,이산화질소,2019.03,0.02709375
경기도,일산화탄소,2019.03,0.5812499999999999
경상남도,미세먼지 PM10,2019.03,50.4
경상남도,미세먼지 PM2.5,2019.03,25.533333333333335
경상남도,아황산가스,2019.03,0.003533333333333333
경상남도,오존,2019.03,0.0442
경상남도,이산화질소,2019.03,0.016
경상남도,일산화탄소,2019.03,0.46
경상북도,미세먼지 PM10,2019.03,58.25
경상북도,미세먼지 PM2.5,2019.03,33.083333333333336
경상북도,아황산가스,2019.03,0.003416666666666667
경상북도,오존,2019.03,0.04016666666666666
경상북도,이산화질소,2019.03,0.015583333333333333
경상북도,일산화탄소,2019.03,0.43333333333333335
광주광역시,미세먼지 PM10,2019.03,63.0
광주광역시,미세먼지 PM2.5,2019.03,39.0
광주광역시,아황산가스,2019.03,0.002
광주광역시,오존,2019.03,0.036
광주광역시,이산화질소,2019.03,0.022
광주광역시,일산화탄소,2019.03,0.5
대구광역시,미세먼지 PM10,2019.03,54.0
대구광역시,미세먼지 PM2.5,2019.03,33.0
대구광역시,아황산가스,2019.03,0.003
대구광역시,오존,2019.03,0.036
대구광역시,이산화질소,2019.03,0.021
대구광역시,일산화탄소,2019.03,0.5
대전광역시,미세먼지 PM10,2019.03,68.0
대전광역시,미세먼지 PM2.5,2019.03,39.0
대전광역시,아황산가스,2019.03,0.003
대전광역시,오존,2019.03,0.028
대전광역시,이산화질소,2019.03,0.023
대전광역시,일산화탄소,2019.03,0.5
부산광역시,미세먼지 PM10,2019.03,51.0
부산광역시,미세먼지 PM2.5,2019.03,30.0
부산광역시,아황산가스,2019.03,0.004
부산광역시,오존,2019.03,0.039
부산광역시,이산화질소,2019.03,0.02
부산광역시,일산화탄소,2019.03,0.4
서울특별시,미세먼지 PM10,2019.03,69.0
서울특별시,미세먼지 PM2.5,2019.03,45.0
서울특별시,아황산가스,2019.03,0.005
서울특별시,오존,2019.03,0.028
서울특별시,이산화질소,2019.03,0.034
서울특별시,일산화탄소,2019.03,0.6
세종특별자치시,미세먼지 PM10,2019.03,71.0
세종특별자치시,미세먼지 PM2.5,2019.03,47.0
세종특별자치시,아황산가스,2019.03,0.003
세종특별자치시,오존,2019.03,0.034
세종특별자치시,이산화질소,2019.03,0.022
세종특별자치시,일산화탄소,2019.03,0.6
울산광역시,미세먼지 PM10,2019.03,49.0
울산광역시,미세먼지 PM2.5,2019.03,29.0
울산광역시,아황산가스,2019.03,0.005
울산광역시,오존,2019.03,0.039
울산광역시,이산화질소,2019.03,0.022
울산광역시,일산화탄소,2019.03,0.5
인천광역시,미세먼지 PM10,2019.03,67.0
인천광역시,미세먼지 PM2.5,2019.03,41.0
인천광역시,아황산가스,2019.03,0.005
인천광역시,오존,2019.03,0.033
인천광역시,이산화질소,2019.03,0.028
인천광역시,일산화탄소,2019.03,0.6
전라남도,미세먼지 PM10,2019.03,50.10526315789474
전라남도,미세먼지 PM2.5,2019.03,30.63157894736842
전라남도,아황산가스,2019.03,0.003529411764705882
전라남도,오존,2019.03,0.04068421052631579
전라남도,이산화질소,2019.03,0.012052631578947369
전라남도,일산화탄소,2019.03,0.5052631578947369
전라북도,미세먼지 PM10,2019.03,65.93333333333334
전라북도,미세먼지 PM2.5,2019.03,42.93333333333333
전라북도,아황산가스,2019.03,0.0033333333333333335
전라북도,오존,2019.03,0.04073333333333333
전라북도,이산화질소,2019.03,0.012933333333333333
전라북도,일산화탄소,2019.03,0.5133333333333333
제주특별자치도,미세먼지 PM10,2019.03,51.0
제주특별자치도,미세먼지 PM2.5,2019.03,29.333333333333332
제주특별자치도,아황산가스,2019.03,0.0023333333333333335
제주특별자치도,오존,2019.03,0.054
제주특별자치도,이산화질소,2019.03,0.012666666666666666
제주특별자치도,일산화탄소,2019.03,0.3333333333333333
충청남도,미세먼지 PM10,2019.03,65.625
충청남도,미세먼지 PM2.5,2019.03,42.5625
충청남도,아황산가스,2019.03,0.004125
충청남도,오존,2019.03,0.0373125
충청남도,이산화질소,2019.03,0.016
충청남도,일산화탄소,2019.03,0.6
충청북도,미세먼지 PM10,2019.03,66.16666666666667
충청북도,미세먼지 PM2.5,2019.03,47.333333333333336
충청북도,아황산가스,2019.03,0.0035833333333333338
충청북도,오존,2019.03,0.034916666666666665
충청북도,이산화질소,2019.03,0.0195
충청북도,일산화탄소,2019.03,0.5
강원도,미세먼지 PM10,2019.04,38.05555555555556
강원도,미세먼지 PM2.5,2019.04,17.27777777777778
강원도,아황산가스,2019.04,0.0022222222222222222
강원도,오존,2019.04,0.04094444444444444
강원도,이산화질소,2019.04,0.010222222222222223
강원도,일산화탄소,2019.04,0.41111111111111115
경기도,미세먼지 PM10,2019.04,44.1875
경기도,미세먼지 PM2.5,2019.04,20.4375
경기도,아황산가스,2019.04,0.0035
경기도,오존,2019.04,0.033125
경기도,이산화질소,2019.04,0.0225
경기도,일산화탄소,2019.04,0.434375
경상남도,미세먼지 PM10,2019.04,39.266666666666666
경상남도,미세먼지 PM2.5,2019.04,16.6
경상남도,아황산가스,2019.04,0.003466666666666667
경상남도,오존,2019.04,0.043000000000000003
경상남도,이산화질소,2019.04,0.0144
경상남도,일산화탄소,2019.04,0.37333333333333335
경상북도,미세먼지 PM10,2019.04,42.25
