"죄종별(1)","죄종별(2)",전과별(1),전과별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"폭력범죄","소계",전과있음,6범,11614,11568,10925,10420,10399,10240,9391,8847,8802,8202
"폭력범죄","소계",전과있음,7범,9529,9469,8832,8035,8141,8209,7431,7286,7207,6625
"폭력범죄","소계",전과있음,8범,8018,7863,7522,7022,6842,6693,6345,5706,5816,5364
"폭력범죄","소계",전과있음,9범이상,49003,51017,48834,46229,46261,46499,43120,41841,42173,39920
"폭력범죄","소계",미상,소계,-,103063,101187,106781,117892,125799,124161,121579,119090,105565
"폭력범죄","상해",계,소계,89138,84850,75206,66885,62059,65695,58851,52867,48854,43552
"폭력범죄","상해",없음,소계,28974,21180,18150,16270,15768,16340,14832,13250,12236,10668
"폭력범죄","상해",전과있음,소계,60164,57776,51646,45493,41525,44319,39286,34757,31974,28591
"폭력범죄","상해",전과있음,1범,11092,11053,9387,8600,7919,8018,7291,6222,5757,4985
"폭력범죄","상해",전과있음,2범,8299,7998,7316,6346,5759,6129,5509,4743,4330,3789
"폭력범죄","상해",전과있음,3범,6909,6528,5602,4930,4522,4812,4299,3795,3451,3100
"폭력범죄","상해",전과있음,4범,5319,5077,4552,3896,3604,3705,3254,2933,2641,2340
"폭력범죄","상해",전과있음,5범,4337,4131,3705,3230,2896,3158,2809,2433,2334,2025
"폭력범죄","상해",전과있음,6범,3569,3297,2986,2716,2392,2591,2246,1957,1820,1653
"폭력범죄","상해",전과있음,7범,2901,2752,2384,2077,1874,2034,1796,1592,1460,1325
"폭력범죄","상해",전과있음,8범,2458,2248,2088,1846,1610,1766,1539,1254,1200,1092
"폭력범죄","상해",전과있음,9범이상,15280,14692,13626,11852,10949,12106,10543,9828,8981,8282
"폭력범죄","상해",미상,소계,-,5894,5410,5122,4766,5036,4733,4860,4644,4293
"폭력범죄","폭행",계,소계,161782,167975,166337,171166,192308,216857,210745,204801,202710,178448
"폭력범죄","폭행",없음,소계,98147,23582,22605,22906,27341,32232,31168,30972,31832,28276
"폭력범죄","폭행",전과있음,소계,63635,66728,66768,65286,71895,81861,78022,76481,77575,70260
"폭력범죄","폭행",전과있음,1범,11177,12420,12078,11803,13705,15941,14877,14742,14959,13404
"폭력범죄","폭행",전과있음,2범,8784,9214,9408,9057,10315,11367,11275,10746,11054,9638
"폭력범죄","폭행",전과있음,3범,7406,7369,7290,7189,7977,9033,8631,8512,8512,7830
"폭력범죄","폭행",전과있음,4범,5622,5964,5906,5688,6174,7031,6738,6751,6530,5975
"폭력범죄","폭행",전과있음,5범,4652,4603,4879,4716,5067,5888,5527,5393,5435,4946
"폭력범죄","폭행",전과있음,6범,3615,3773,3809,3744,4204,4682,4376,4309,4232,3894
"폭력범죄","폭행",전과있음,7범,3063,3162,3101,2952,3225,3821,3458,3477,3566,3176
"폭력범죄","폭행",전과있음,8범,2616,2664,2706,2627,2733,2970,3019,2757,2759,2488
"폭력범죄","폭행",전과있음,9범이상,16700,17559,17591,17510,18495,21128,20121,19794,20528,18909
"폭력범죄","폭행",미상,소계,-,77665,76964,82974,93072,102764,101555,97348,93303,79912
"폭력범죄","체포·감금",계,소계,969,1113,1086,1118,1226,1687,1911,1608,1654,1695
"폭력범죄","체포·감금",없음,소계,529,206,159,157,205,294,355,288,303,267
"폭력범죄","체포·감금",전과있음,소계,440,481,499,464,527,838,893,674,672,709
"폭력범죄","체포·감금",전과있음,1범,78,92,81,82,84,168,166,110,117,131
"폭력범죄","체포·감금",전과있음,2범,64,59,73,69,84,133,114,100,93,103
"폭력범죄","체포·감금",전과있음,3범,46,55,58,45,54,94,115,63,58,67
"폭력범죄","체포·감금",전과있음,4범,54,48,46,36,48,73,77,58,58,47
"폭력범죄","체포·감금",전과있음,5범,32,38,45,33,35,50,63,51,40,42
"폭력범죄","체포·감금",전과있음,6범,23,33,24,33,33,47,48,40,42,45
"폭력범죄","체포·감금",전과있음,7범,28,16,26,23,19,44,41,30,29,31
"폭력범죄","체포·감금",전과있음,8범,26,17,24,11,21,18,43,30,24,26
"폭력범죄","체포·감금",전과있음,9범이상,89,123,122,132,149,211,226,192,211,217
"폭력범죄","체포·감금",미상,소계,-,426,428,497,494,555,663,646,679,719
"폭력범죄","협박",계,소계,3855,4732,4682,5160,9197,16825,16599,18337,22377,22507
"폭력범죄","협박",없음,소계,2132,692,654,715,1401,2989,3075,3276,3956,4004
"폭력범죄","협박",전과있음,소계,1723,2165,2127,2225,4542,9460,9002,9469,11507,11389
"폭력범죄","협박",전과있음,1범,285,349,318,358,747,1761,1621,1755,2094,2020
"폭력범죄","협박",전과있음,2범,228,288,290,268,602,1299,1289,1294,1569,1553
"폭력범죄","협박",전과있음,3범,170,243,250,242,504,1021,999,1049,1245,1194
"폭력범죄","협박",전과있음,4범,165,209,175,209,407,863,802,832,1020,1040
"폭력범죄","협박",전과있음,5범,127,155,165,158,336,682,634,683,780,831
"폭력범죄","협박",전과있음,6범,89,131,108,121,219,515,484,538,691,682
"폭력범죄","협박",전과있음,7범,95,109,104,103,223,443,427,457,547,564
"폭력범죄","협박",전과있음,8범,89,68,90,88,179,381,338,352,446,409
"폭력범죄","협박",전과있음,9범이상,475,613,627,678,1325,2495,2408,2509,3115,3096
"폭력범죄","협박",미상,소계,-,1875,1901,2220,3254,4376,4522,5592,6914,7114
"폭력범죄","약취·유인",계,소계,340,270,260,252,252,305,285,260,351,296
"폭력범죄","약취·유인",없음,소계,173,63,59,57,51,83,78,74,80,63
"폭력범죄","약취·유인",전과있음,소계,167,138,116,124,112,137,120,106,132,117
"폭력범죄","약취·유인",전과있음,1범,21,26,21,28,20,21,26,35,23,34
"폭력범죄","약취·유인",전과있음,2범,19,17,14,17,12,23,25,12,22,13
"폭력범죄","약취·유인",전과있음,3범,18,11,18,12,16,18,9,11,8,12
"폭력범죄","약취·유인",전과있음,4범,21,12,9,7,6,10,8,10,12,2
"폭력범죄","약취·유인",전과있음,5범,13,10,11,7,7,9,12,11,12,8
"폭력범죄","약취·유인",전과있음,6범,8,10,10,7,8,1,4,3,7,1
"폭력범죄","약취·유인",전과있음,7범,9,8,5,8,3,7,3,5,7,3
"폭력범죄","약취·유인",전과있음,8범,7,1,2,3,2,4,3,1,2,3
"폭력범죄","약취·유인",전과있음,9범이상,51,43,26,35,38,44,30,18,39,41
"폭력범죄","약취·유인",미상,소계,-,69,85,71,89,85,87,80,139,116
"폭력범죄","폭력행위등",계,소계,103423,106256,89858,80113,73002,40963,36647,31885,28625,25342
"폭력범죄","폭력행위등",없음,소계,48641,36297,27122,24239,21480,14017,13015,11231,10226,8464
"폭력범죄","폭력행위등",전과있음,소계,54782,56767,50468,44604,40673,20078,17491,14945,12950,11929
"폭력범죄","폭력행위등",전과있음,1범,13033,13654,11348,9711,8701,4941,4337,3596,3160,2786
"폭력범죄","폭력행위등",전과있음,2범,8624,8623,7523,6759,6053,3145,2895,2292,1994,1783
"폭력범죄","폭력행위등",전과있음,3범,6304,6522,5747,5058,4314,2286,2077,1618,1427,1336
"폭력범죄","폭력행위등",전과있음,4범,4834,4881,4280,3754,3538,1644,1499,1286,1079,937
"폭력범죄","폭력행위등",전과있음,5범,3718,3866,3577,3038,2824,1302,1120,985,810,794
"폭력범죄","폭력행위등",전과있음,6범,3065,3006,2813,2555,2333,1063,906,743,645,591
"폭력범죄","폭력행위등",전과있음,7범,2452,2351,2161,1912,1815,799,662,657,503,462
"폭력범죄","폭력행위등",전과있음,8범,1990,2010,1792,1585,1474,669,543,463,441,431
"폭력범죄","폭력행위등",전과있음,9범이상,10762,11854,11227,10232,9621,4229,3452,3305,2891,2809
"폭력범죄","폭력행위등",미상,소계,-,13192,12268,11270,10849,6868,6141,5709,5449,4949
"폭력범죄","공갈",계,소계,3786,5455,3189,3674,2930,3638,3573,3521,3552,3434
"폭력범죄","공갈",없음,소계,1775,1680,712,658,557,758,835,865,1012,847
"폭력범죄","공갈",전과있음,소계,2011,3107,1778,2184,1540,1932,1797,1572,1488,1472
"폭력범죄","공갈",전과있음,1범,408,691,313,291,242,289,330,277,245,287
"폭력범죄","공갈",전과있음,2범,282,391,221,217,175,201,218,205,175,201
"폭력범죄","공갈",전과있음,3범,198,278,183,169,141,167,145,160,135,124
"폭력범죄","공갈",전과있음,4범,168,261,142,183,98,122,129,126,102,92
"폭력범죄","공갈",전과있음,5범,125,198,103,146,92,109,129,90,112,99
"폭력범죄","공갈",전과있음,6범,102,168,89,117,92,100,99,87,86,78
"폭력범죄","공갈",전과있음,7범,79,142,87,89,58,81,67,69,77,67
"폭력범죄","공갈",전과있음,8범,78,129,64,100,65,66,57,53,60,50
"폭력범죄","공갈",전과있음,9범이상,571,849,576,872,577,797,623,505,496,474
"폭력범죄","공갈",미상,소계,-,668,699,832,833,948,941,1084,1052,1115
"폭력범죄","손괴",계,소계,28749,29631,29295,29907,31749,34995,34900,35690,38438,38716
"폭력범죄","손괴",없음,소계,9641,6504,6280,6678,7209,7933,7721,7837,8618,8695
"폭력범죄","손괴",전과있음,소계,19108,19853,19583,19434,20005,21895,21660,21593,22910,22674
"폭력범죄","손괴",전과있음,1범,3400,3700,3601,3641,3789,4241,4114,4105,4421,4258
"폭력범죄","손괴",전과있음,2범,2639,2698,2741,2839,2873,3180,3077,3048,3332,3183
"폭력범죄","손괴",전과있음,3범,2165,2191,2261,2104,2224,2463,2329,2379,2580,2487
"폭력범죄","손괴",전과있음,4범,1668,1704,1658,1733,1790,1906,1865,1858,1909,1927
"폭력범죄","손괴",전과있음,5범,1362,1471,1477,1439,1422,1576,1550,1548,1575,1607
"폭력범죄","손괴",전과있음,6범,1143,1150,1086,1127,1118,1241,1228,1170,1279,1258
"폭력범죄","손괴",전과있음,7범,902,929,964,871,924,980,977,999,1018,997
"폭력범죄","손괴",전과있음,8범,754,726,756,762,758,819,803,796,884,865
"폭력범죄","손괴",전과있음,9범이상,5075,5284,5039,4918,5107,5489,5717,5690,5912,6092
"폭력범죄","손괴",미상,소계,-,3274,3432,3795,4535,5167,5519,6260,6910,7347
"지능범죄","소계",계,소계,329399,280243,304025,286099,294379,287025,269117,292114,308782,307706
"지능범죄","소계",없음,소계,229242,37926,36494,36658,38968,39676,39056,42476,48782,46992
"지능범죄","소계",전과있음,소계,100157,97313,105871,106306,110733,107626,101511,106646,115336,115367
"지능범죄","소계",전과있음,1범,17517,17003,17004,17453,18163,17794,17545,18816,20460,20246
"지능범죄","소계",전과있음,2범,13006,12180,12889,13202,13322,13415,12750,13334,14530,14294
"지능범죄","소계",전과있음,3범,10693,10198,10581,10649,10995,10837,10247,10503,11502,11571
"지능범죄","소계",전과있음,4범,8361,7975,8310,8565,8698,8563,8076,8221,9011,8633
"지능범죄","소계",전과있음,5범,6915,6606,7158,7093,7458,7281,6646,6971,7629,7475
"지능범죄","소계",전과있음,6범,5620,5459,5884,5983,6243,5945,5603,5583,5958,5943
"지능범죄","소계",전과있음,7범,4648,4520,4873,4814,4944,4781,4419,4621,4975,5034
"지능범죄","소계",전과있음,8범,4235,3851,4195,3946,4166,3983,3683,3732,3875,3983
"지능범죄","소계",전과있음,9범이상,29162,29521,34977,34601,36744,35027,32542,34865,37396,38188
"지능범죄","소계",미상,소계,-,145004,161660,143135,144678,139723,128550,142992,144664,145347
"지능범죄","직무유기",계,소계,669,823,802,801,860,642,663,713,788,947
"지능범죄","직무유기",없음,소계,610,172,148,125,144,124,96,67,72,70
"지능범죄","직무유기",전과있음,소계,59,76,63,44,51,41,31,19,26,19
"지능범죄","직무유기",전과있음,1범,31,59,38,27,35,19,11,7,15,10
"지능범죄","직무유기",전과있음,2범,11,6,12,9,11,12,13,6,2,7
"지능범죄","직무유기",전과있음,3범,8,5,6,5,4,7,5,1,4,1
"지능범죄","직무유기",전과있음,4범,4,2,2,1,-,2,1,2,-,-
"지능범죄","직무유기",전과있음,5범,4,-,2,-,-,-,-,-,2,-
"지능범죄","직무유기",전과있음,6범,1,1,2,-,-,-,1,2,1,-
"지능범죄","직무유기",전과있음,7범,-,1,-,-,-,-,-,-,1,-
"지능범죄","직무유기",전과있음,8범,-,-,-,1,-,-,-,-,-,-
"지능범죄","직무유기",전과있음,9범이상,-,2,1,1,1,1,-,1,1,1
"지능범죄","직무유기",미상,소계,-,575,591,632,665,477,536,627,690,858
"지능범죄","직권남용",계,소계,357,409,523,595,587,577,679,811,974,1021
"지능범죄","직권남용",없음,소계,320,75,108,78,77,80,94,126,110,112
"지능범죄","직권남용",전과있음,소계,37,34,36,38,31,30,55,59,54,25
