범죄명,연도,검거기간,범죄종류,범죄자수
기타 강간·강제추행등,2012,1일이내,강력범죄,0
기타 강간·강제추행등,2012,2일이내,강력범죄,0
기타 강간·강제추행등,2012,3일이내,강력범죄,0
기타 강간·강제추행등,2012,10일이내,강력범죄,0
기타 강간·강제추행등,2012,1개월이내,강력범죄,0
기타 강간·강제추행등,2012,3개월이내,강력범죄,0
기타 강간·강제추행등,2012,6개월이내,강력범죄,0
기타 강간·강제추행등,2012,1년이내,강력범죄,0
기타 강간·강제추행등,2012,1년초과,강력범죄,0
방화,2012,1일이내,강력범죄,819
방화,2012,2일이내,강력범죄,38
방화,2012,3일이내,강력범죄,29
방화,2012,10일이내,강력범죄,104
방화,2012,1개월이내,강력범죄,125
방화,2012,3개월이내,강력범죄,125
방화,2012,6개월이내,강력범죄,53
방화,2012,1년이내,강력범죄,21
방화,2012,1년초과,강력범죄,32
절도범죄,2012,1일이내,절도범죄,25871
절도범죄,2012,2일이내,절도범죄,3477
절도범죄,2012,3일이내,절도범죄,3010
절도범죄,2012,10일이내,절도범죄,14494
절도범죄,2012,1개월이내,절도범죄,21929
절도범죄,2012,3개월이내,절도범죄,20734
절도범죄,2012,6개월이내,절도범죄,8278
절도범죄,2012,1년이내,절도범죄,4621
절도범죄,2012,1년초과,절도범죄,3945
절도범죄,2012,미상,절도범죄,1
상해,2012,1일이내,폭력범죄,26849
상해,2012,2일이내,폭력범죄,1367
상해,2012,3일이내,폭력범죄,1588
상해,2012,10일이내,폭력범죄,8204
상해,2012,1개월이내,폭력범죄,10649
상해,2012,3개월이내,폭력범죄,6793
상해,2012,6개월이내,폭력범죄,1665
상해,2012,1년이내,폭력범죄,841
상해,2012,1년초과,폭력범죄,956
상해,2012,미상,폭력범죄,2
폭행,2012,1일이내,폭력범죄,84079
폭행,2012,2일이내,폭력범죄,2044
폭행,2012,3일이내,폭력범죄,2852
폭행,2012,10일이내,폭력범죄,11089
폭행,2012,1개월이내,폭력범죄,10653
폭행,2012,3개월이내,폭력범죄,6202
폭행,2012,6개월이내,폭력범죄,1535
폭행,2012,1년이내,폭력범죄,679
폭행,2012,1년초과,폭력범죄,684
폭행,2012,미상,폭력범죄,0
체포·감금,2012,1일이내,폭력범죄,297
체포·감금,2012,2일이내,폭력범죄,19
체포·감금,2012,3일이내,폭력범죄,9
체포·감금,2012,10일이내,폭력범죄,69
체포·감금,2012,1개월이내,폭력범죄,98
체포·감금,2012,3개월이내,폭력범죄,125
체포·감금,2012,6개월이내,폭력범죄,55
체포·감금,2012,1년이내,폭력범죄,43
체포·감금,2012,1년초과,폭력범죄,62
협박,2012,1일이내,폭력범죄,1059
협박,2012,2일이내,폭력범죄,42
협박,2012,3일이내,폭력범죄,68
협박,2012,10일이내,폭력범죄,352
협박,2012,1개월이내,폭력범죄,732
협박,2012,3개월이내,폭력범죄,891
협박,2012,6개월이내,폭력범죄,376
협박,2012,1년이내,폭력범죄,196
협박,2012,1년초과,폭력범죄,232
약취·유인,2012,1일이내,폭력범죄,65
약취·유인,2012,2일이내,폭력범죄,5
약취·유인,2012,3일이내,폭력범죄,2
약취·유인,2012,10일이내,폭력범죄,22
약취·유인,2012,1개월이내,폭력범죄,22
약취·유인,2012,3개월이내,폭력범죄,22
약취·유인,2012,6개월이내,폭력범죄,10
약취·유인,2012,1년이내,폭력범죄,12
약취·유인,2012,1년초과,폭력범죄,14
폭력행위등,2012,1일이내,폭력범죄,22739
폭력행위등,2012,2일이내,폭력범죄,830
폭력행위등,2012,3일이내,폭력범죄,912
폭력행위등,2012,10일이내,폭력범죄,4220
폭력행위등,2012,1개월이내,폭력범죄,5373
폭력행위등,2012,3개월이내,폭력범죄,4190
폭력행위등,2012,6개월이내,폭력범죄,1401
폭력행위등,2012,1년이내,폭력범죄,935
