iter	Passed	Remaining
1642	375	310
1643	375	310
1644	376	309
1645	376	309
1646	376	309
1647	376	309
1648	376	308
1649	377	308
1650	377	308
1651	377	308
1652	377	307
1653	377	307
1654	378	307
1655	378	307
1656	378	306
1657	378	306
1658	378	306
1659	379	306
1660	379	305
1661	379	305
1662	379	305
1663	379	305
1664	380	304
1665	380	304
1666	380	304
1667	380	303
1668	380	303
1669	381	303
1670	381	303
1671	381	302
1672	381	302
1673	381	302
1674	382	302
1675	382	301
1676	382	301
1677	382	301
1678	382	301
1679	383	301
1680	383	300
1681	383	300
1682	383	300
1683	383	300
1684	384	299
1685	384	299
1686	384	299
1687	384	299
1688	384	298
1689	385	298
1690	385	298
1691	385	298
1692	385	297
1693	386	297
1694	386	297
1695	386	297
1696	386	297
1697	387	296
1698	387	296
1699	387	296
1700	387	296
1701	387	295
1702	388	295
1703	388	295
1704	388	295
1705	388	294
1706	388	294
1707	389	294
1708	389	293
1709	389	293
1710	389	293
1711	389	293
1712	390	293
1713	390	292
1714	390	292
1715	390	292
1716	390	292
1717	391	291
1718	391	291
1719	391	291
1720	391	291
1721	391	290
1722	392	290
1723	392	290
1724	392	290
1725	392	289
1726	392	289
1727	393	289
1728	393	289
1729	393	288
1730	393	288
1731	393	288
1732	394	288
1733	394	287
1734	394	287
1735	394	287
1736	394	287
1737	395	286
1738	395	286
1739	395	286
1740	395	286
1741	395	285
1742	395	285
1743	396	285
1744	396	285
1745	396	284
1746	396	284
1747	396	284
1748	397	283
1749	397	283
1750	397	283
1751	397	283
1752	397	282
1753	398	282
1754	398	282
1755	398	282
1756	398	281
1757	398	281
1758	399	281
1759	399	281
1760	399	281
1761	399	280
1762	399	280
1763	400	280
1764	400	280
1765	400	279
1766	400	279
1767	400	279
1768	401	279
1769	401	278
1770	401	278
1771	401	278
1772	401	278
1773	401	277
1774	402	277
1775	402	277
1776	402	277
1777	402	276
1778	402	276
1779	403	276
1780	403	276
1781	403	275
1782	403	275
1783	403	275
